house_id,housing_category,house_type,location,size_sqm,cost_per_sqm_ksh,construction_cost_ksh,financing_cost_ksh,markup_ksh,government_subsidy_ksh,final_price_ksh,interest_rate_pct,repayment_years,monthly_repayment_ksh,buyer_monthly_income_ksh,housing_levy_contribution_ksh,affordability_ratio,affordable
KE-0001,Affordable,2-Bedroom,Kisumu,54,53617.0,2895300.0,579100.0,496800.0,278000.0,3693200.0,6.0,20,26460.0,47500,710.0,0.557,0
KE-0002,Market-Rate,1-Bedroom,Westlands,36,92954.0,3346300.0,669300.0,803100.0,0.0,4818700.0,9.0,25,40440.0,395200,5930.0,0.102,1
KE-0003,Affordable,1-Bedroom,Kisumu,33,54498.0,1798400.0,359700.0,308600.0,172600.0,2294100.0,6.0,25,14780.0,44000,660.0,0.336,0
KE-0004,Affordable,1-Bedroom,Kasarani,32,52836.0,1690700.0,338100.0,290100.0,162300.0,2156600.0,6.0,30,12930.0,132600,1990.0,0.098,1
KE-0005,Social,2-Bedroom,Nairobi CBD,54,60409.0,3262100.0,652400.0,368000.0,587200.0,3695300.0,3.0,30,15580.0,16500,250.0,0.944,0
KE-0006,Social,2-Bedroom,Ruiru,54,38506.0,2079300.0,415900.0,234500.0,374300.0,2355400.0,3.0,15,16270.0,19000,280.0,0.856,0
KE-0007,Social,Studio,Kasarani,21,43040.0,903800.0,180800.0,102000.0,162700.0,1023900.0,3.0,15,7070.0,11100,170.0,0.637,0
KE-0008,Market-Rate,Studio,Embakasi,18,74730.0,1345100.0,269000.0,322800.0,0.0,1936900.0,9.0,30,15580.0,300300,4500.0,0.052,1
KE-0009,Affordable,Studio,Embakasi,18,49719.0,894900.0,179000.0,153600.0,85900.0,1141600.0,6.0,20,8180.0,105700,1590.0,0.077,1
KE-0010,Affordable,2-Bedroom,Kisumu,58,52425.0,3040700.0,608100.0,521800.0,291900.0,3878700.0,6.0,25,24990.0,85900,1290.0,0.291,1
KE-0011,Social,2-Bedroom,Mombasa,56,50472.0,2826400.0,565300.0,318800.0,508800.0,3201700.0,3.0,25,15180.0,18100,270.0,0.839,0
KE-0012,Market-Rate,1-Bedroom,Eastlands,33,66504.0,2194600.0,438900.0,526700.0,0.0,3160200.0,9.0,30,25430.0,247500,3710.0,0.103,1
KE-0013,Market-Rate,Studio,Mombasa,22,84231.0,1853100.0,370600.0,444700.0,0.0,2668400.0,9.0,15,27060.0,331400,4970.0,0.082,1
KE-0014,Social,Studio,Nakuru,20,36164.0,723300.0,144700.0,81600.0,130200.0,819400.0,3.0,25,3890.0,12700,190.0,0.306,0
KE-0015,Social,3-Bedroom,Mombasa,83,52914.0,4391900.0,878400.0,495400.0,790500.0,4975200.0,3.0,15,34360.0,18500,280.0,1.857,0
KE-0016,Social,1-Bedroom,Nakuru,37,38738.0,1433300.0,286700.0,161700.0,258000.0,1623700.0,3.0,15,11210.0,16600,250.0,0.675,0
KE-0017,Affordable,2-Bedroom,Nakuru,52,44747.0,2326800.0,465400.0,399300.0,223400.0,2968100.0,6.0,25,19120.0,57200,860.0,0.334,0
KE-0018,Affordable,2-Bedroom,Ruiru,54,44421.0,2398700.0,479700.0,411600.0,230300.0,3059700.0,6.0,30,18340.0,48300,720.0,0.38,0
KE-0019,Affordable,1-Bedroom,Nairobi CBD,38,66603.0,2530900.0,506200.0,434300.0,243000.0,3228400.0,6.0,25,20800.0,83300,1250.0,0.25,1
KE-0020,Social,1-Bedroom,Ruiru,32,37994.0,1215800.0,243200.0,137100.0,218800.0,1377300.0,3.0,25,6530.0,13000,200.0,0.502,0
KE-0021,Affordable,Studio,Nakuru,19,42794.0,813100.0,162600.0,139500.0,78100.0,1037100.0,6.0,25,6680.0,134600,2020.0,0.05,1
KE-0022,Social,2-Bedroom,Kasarani,55,42249.0,2323700.0,464700.0,262100.0,418300.0,2632200.0,3.0,25,12480.0,16600,250.0,0.752,0
KE-0023,Social,2-Bedroom,Embakasi,53,39966.0,2118200.0,423600.0,238900.0,381300.0,2399400.0,3.0,20,13310.0,10900,160.0,1.221,0
KE-0024,Affordable,2-Bedroom,Nakuru,57,44091.0,2513200.0,502600.0,431300.0,241300.0,3205800.0,6.0,30,19220.0,134000,2010.0,0.143,1
KE-0025,Affordable,2-Bedroom,Ruiru,56,43925.0,2459800.0,492000.0,422100.0,236100.0,3137800.0,6.0,25,20220.0,56600,850.0,0.357,0
KE-0026,Affordable,Studio,Kasarani,22,47907.0,1054000.0,210800.0,180900.0,101200.0,1344500.0,6.0,30,8060.0,143400,2150.0,0.056,1
KE-0027,Social,3-Bedroom,Ruiru,80,39560.0,3164800.0,633000.0,357000.0,569700.0,3585100.0,3.0,15,24760.0,10100,150.0,2.451,0
KE-0028,Affordable,2-Bedroom,Mombasa,52,58397.0,3036600.0,607300.0,521100.0,291500.0,3873500.0,6.0,25,24960.0,28200,420.0,0.885,0
KE-0029,Affordable,1-Bedroom,Westlands,36,65941.0,2373900.0,474800.0,407400.0,227900.0,3028200.0,6.0,25,19510.0,53300,800.0,0.366,0
KE-0030,Social,3-Bedroom,Kisumu,78,46564.0,3632000.0,726400.0,409700.0,653800.0,4114300.0,3.0,25,19510.0,12300,180.0,1.586,0
KE-0031,Affordable,2-Bedroom,Eastlands,55,44049.0,2422700.0,484500.0,415700.0,232600.0,3090300.0,6.0,20,22140.0,25700,390.0,0.861,0
KE-0032,Social,2-Bedroom,Ruiru,56,39269.0,2199100.0,439800.0,248100.0,395800.0,2491200.0,3.0,25,11810.0,17900,270.0,0.66,0
KE-0033,Social,2-Bedroom,Eastlands,55,35894.0,1974200.0,394800.0,222700.0,355400.0,2236300.0,3.0,30,9430.0,15800,240.0,0.597,0
KE-0034,Market-Rate,2-Bedroom,Kibera,55,57566.0,3166100.0,633200.0,759900.0,0.0,4559200.0,9.0,20,41020.0,202700,3040.0,0.202,1
KE-0035,Market-Rate,2-Bedroom,Ruiru,53,69037.0,3659000.0,731800.0,878200.0,0.0,5269000.0,9.0,30,42400.0,164000,2460.0,0.259,1
KE-0036,Market-Rate,Studio,Westlands,23,96760.0,2225500.0,445100.0,534100.0,0.0,3204700.0,9.0,25,26890.0,169600,2540.0,0.159,1
KE-0037,Affordable,1-Bedroom,Eastlands,34,43776.0,1488400.0,297700.0,255400.0,142900.0,1898600.0,6.0,25,12230.0,92600,1390.0,0.132,1
KE-0038,Social,3-Bedroom,Nakuru,81,39407.0,3191900.0,638400.0,360000.0,574500.0,3615800.0,3.0,15,24970.0,19100,290.0,1.307,0
KE-0039,Affordable,1-Bedroom,Ruiru,33,43568.0,1437700.0,287500.0,246700.0,138000.0,1833900.0,6.0,25,11820.0,20600,310.0,0.574,0
KE-0040,Affordable,1-Bedroom,Nairobi CBD,35,70387.0,2463500.0,492700.0,422700.0,236500.0,3142400.0,6.0,20,22510.0,49900,750.0,0.451,0
KE-0041,Social,1-Bedroom,Kisumu,33,46453.0,1532900.0,306600.0,172900.0,275900.0,1736500.0,3.0,30,7320.0,17000,260.0,0.431,0
KE-0042,Affordable,1-Bedroom,Westlands,38,64242.0,2441200.0,488200.0,418900.0,234400.0,3113900.0,6.0,30,18670.0,37000,560.0,0.505,0
KE-0043,Social,2-Bedroom,Eastlands,54,35268.0,1904500.0,380900.0,214800.0,342800.0,2157400.0,3.0,15,14900.0,17100,260.0,0.871,0
KE-0044,Market-Rate,3-Bedroom,Westlands,82,100479.0,8239300.0,1647900.0,1977400.0,0.0,11864600.0,9.0,20,106750.0,367700,5520.0,0.29,1
KE-0045,Social,1-Bedroom,Kasarani,36,41979.0,1511300.0,302300.0,170500.0,272000.0,1712100.0,3.0,15,11820.0,11100,170.0,1.065,0
KE-0046,Affordable,Studio,Kisumu,19,53379.0,1014200.0,202800.0,174000.0,97400.0,1293600.0,6.0,25,8330.0,123500,1850.0,0.067,1
KE-0047,Affordable,Studio,Nakuru,17,44661.0,759200.0,151800.0,130300.0,72900.0,968400.0,6.0,30,5810.0,86700,1300.0,0.067,1
KE-0048,Affordable,3-Bedroom,Ruiru,81,47702.0,3863800.0,772800.0,663000.0,370900.0,4928700.0,6.0,30,29550.0,88200,1320.0,0.335,0
KE-0049,Affordable,2-Bedroom,Ruiru,54,45548.0,2459600.0,491900.0,422100.0,236100.0,3137500.0,6.0,15,26480.0,25200,380.0,1.051,0
KE-0050,Social,1-Bedroom,Ruiru,35,38518.0,1348100.0,269600.0,152100.0,242700.0,1527100.0,3.0,15,10550.0,19000,280.0,0.555,0
KE-0051,Market-Rate,2-Bedroom,Kisumu,56,77434.0,4336300.0,867300.0,1040700.0,0.0,6244300.0,9.0,20,56180.0,334100,5010.0,0.168,1
KE-0052,Affordable,3-Bedroom,Nairobi CBD,81,67759.0,5488500.0,1097700.0,941800.0,526900.0,7001100.0,6.0,30,41980.0,44500,670.0,0.943,0
KE-0053,Market-Rate,2-Bedroom,Kibera,53,56764.0,3008500.0,601700.0,722000.0,0.0,4332200.0,9.0,30,34860.0,165000,2480.0,0.211,1
KE-0054,Market-Rate,3-Bedroom,Embakasi,80,68879.0,5510300.0,1102100.0,1322500.0,0.0,7934900.0,9.0,30,63850.0,248000,3720.0,0.257,1
KE-0055,Affordable,1-Bedroom,Mombasa,32,58270.0,1864600.0,372900.0,320000.0,179000.0,2378500.0,6.0,30,14260.0,59400,890.0,0.24,1
KE-0056,Market-Rate,2-Bedroom,Eastlands,57,64568.0,3680400.0,736100.0,883300.0,0.0,5299800.0,9.0,30,42640.0,365600,5480.0,0.117,1
KE-0057,Social,1-Bedroom,Nairobi CBD,38,60934.0,2315500.0,463100.0,261200.0,416800.0,2623000.0,3.0,30,11060.0,11300,170.0,0.979,0
KE-0058,Social,2-Bedroom,Nakuru,54,36653.0,1979300.0,395900.0,223300.0,356300.0,2242200.0,3.0,30,9450.0,17400,260.0,0.543,0
KE-0059,Social,2-Bedroom,Eastlands,53,38381.0,2034200.0,406800.0,229500.0,366200.0,2304300.0,3.0,15,15910.0,12300,180.0,1.293,0
KE-0060,Affordable,2-Bedroom,Ruiru,54,47412.0,2560200.0,512000.0,439300.0,245800.0,3265700.0,6.0,25,21040.0,66800,1000.0,0.315,0
KE-0061,Affordable,2-Bedroom,Westlands,52,67868.0,3529100.0,705800.0,605600.0,338800.0,4501700.0,6.0,25,29000.0,76600,1150.0,0.379,0
KE-0062,Social,Studio,Nakuru,17,39113.0,664900.0,133000.0,75000.0,119700.0,753200.0,3.0,20,4180.0,13800,210.0,0.303,0
KE-0063,Market-Rate,2-Bedroom,Eastlands,56,62316.0,3489700.0,697900.0,837500.0,0.0,5025100.0,9.0,30,40430.0,155800,2340.0,0.259,1
KE-0064,Affordable,3-Bedroom,Ruiru,83,47045.0,3904800.0,781000.0,670100.0,374900.0,4981000.0,6.0,20,35690.0,55900,840.0,0.638,0
KE-0065,Social,3-Bedroom,Eastlands,77,38579.0,2970600.0,594100.0,335100.0,534700.0,3365100.0,3.0,20,18660.0,16000,240.0,1.166,0
KE-0066,Affordable,Studio,Westlands,19,64059.0,1217100.0,243400.0,208900.0,116800.0,1552600.0,6.0,25,10000.0,108000,1620.0,0.093,1
KE-0067,Social,Studio,Ruiru,20,38746.0,774900.0,155000.0,87400.0,139500.0,877800.0,3.0,30,3700.0,19000,280.0,0.195,1
KE-0068,Market-Rate,Studio,Kibera,20,55038.0,1100800.0,220200.0,264200.0,0.0,1585200.0,9.0,20,14260.0,152800,2290.0,0.093,1
KE-0069,Social,2-Bedroom,Nairobi CBD,56,56300.0,3152800.0,630600.0,355600.0,567500.0,3571500.0,3.0,30,15060.0,16600,250.0,0.907,0
KE-0070,Market-Rate,2-Bedroom,Kasarani,57,79176.0,4513100.0,902600.0,1083100.0,0.0,6498800.0,9.0,15,65920.0,215100,3230.0,0.306,0
KE-0071,Affordable,1-Bedroom,Mombasa,34,60294.0,2050000.0,410000.0,351800.0,196800.0,2615000.0,6.0,30,15680.0,74600,1120.0,0.21,1
